State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Correct,Total,Percent
New York,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,8,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,29,53,0.55
North Carolina,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,33,1,0,0,2,0,0,0,1,0,0,1,0,5,1,0,1,0,33,57,0.58
North Dakota,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,34,2,0,0,0,0,1,3,0,0,0,0,0,0,0,2,2,34,52,0.65
Ohio,1,0,0,2,0,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,21,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,21,39,0.54
Oklahoma,0,0,0,3,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,28,0,0,0,0,1,1,1,1,0,0,1,0,0,0,28,47,0.6
Oregon,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,28,0,0,0,1,0,0,4,0,0,2,0,0,2,28,48,0.58
Pennsylvania,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,3,0,0,21,0,0,1,0,0,0,0,1,1,2,0,3,21,44,0.48
Rhode Island,0,2,0,0,0,0,3,5,0,0,4,0,0,0,0,0,0,0,1,1,6,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,28,56,0.5
South Carolina,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,32,49,0.65
South Dakota,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,1,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,30,1,3,0,0,0,0,0,0,1,30,51,0.59
Tennessee,0,0,1,2,0,2,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,28,0,1,0,0,0,0,0,0,28,47,0.6
Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,1,0,0,0,0,0,0,46,51,0.9
Utah,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,30,45,0.67
Vermont,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,0,2,1,1,4,1,0,1,0,0,1,1,1,1,2,0,3,0,0,0,20,1,2,0,1,0,20,51,0.39
Virginia,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,31,0,1,0,0,31,52,0.6
Washington,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,41,0,0,0,41,49,0.84
West Virginia,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,2,0,24,0,0,24,42,0.57
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,2,0,0,0,0,0,4,3,0,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,20,1,20,48,0.42
Wyoming,1,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,30,30,53,0.57
