State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Correct,Total,Percent
North Carolina,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,1,0,0,2,0,0,0,1,0,0,1,0,4,1,0,0,0,8,30,0.27
North Dakota,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,5,20,0.25
Ohio,1,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,22,0.41
Oklahoma,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,7,0,0,0,0,1,1,1,1,0,0,1,0,0,0,7,22,0.32
Oregon,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,4,0,0,2,0,0,2,8,26,0.31
Pennsylvania,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,4,0,0,1,0,0,0,0,1,1,1,0,3,4,24,0.17
Rhode Island,0,1,0,0,0,0,2,3,0,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,6,22,0.27
South Carolina,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,22,0.23
South Dakota,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,5,1,3,0,0,0,0,0,0,1,5,25,0.2
Tennessee,0,0,1,1,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,5,20,0.25
Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,1,0,0,0,0,0,0,23,28,0.82
Utah,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,9,23,0.39
Vermont,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,1,3,1,0,1,0,0,1,1,1,1,2,0,3,0,0,0,0,1,2,0,1,0,0,27,0.0
Virginia,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,5,0,1,0,0,5,23,0.22
Washington,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,12,20,0.6
West Virginia,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6,0,0,6,17,0.35
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,0,0,0,2,3,0,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,25,0.04
Wyoming,1,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,8,8,28,0.29
