0,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Correct,Sum,Percent,Cluster
Idaho,0,0,1,0,0,1,0,0,1,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,1,3,23,0.13,0
Illinois,0,0,1,0,0,2,0,0,0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,10,28,0.36,0
Indiana,0,0,0,0,1,0,0,0,0,0,0,1,1,3,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,18,0.17,7
Iowa,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,3,6,23,0.26,0
Kansas,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,28,0.36,2
Kentucky,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,20,0.3,2
Louisiana,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,22,0.32,3
Maine,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,6,0,0,1,1,0,1,0,1,3,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,6,26,0.23,1
Maryland,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,5,21,0.24,6
Massachusetts,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,3,21,0.14,1
